Name,Diameter,Lat,Lon,LonE
Haret,29770,-58.77,-176.19,183.81
Maginus K,29760,-47.32,-3.92,356.08
Landau Q,29750,40.65,-122.02,237.98
Chadwick,29740,-52.85,-101.34,258.66
Nagaoka U,29720,20.1,151.5,151.5
Ehrlich Z,29710,42.12,-172.13,187.87
d'Arrest,29670,2.26,14.6,14.6
Stormer T,29670,56.62,142.1,142.1
Hainzel Y,29650,-40.97,-39.84,320.16
Lehmann A,29640,-39.51,-53.87,306.13
Fernelius A,29630,-38.4,3.48,3.48
Parrot C,29610,-18.57,1.23,1.23
Zwicky N,29550,-15.92,167.57,167.57
Seneca B,29470,27.17,77.01,77.01
Finsen G,29440,-43.23,-175.47,184.53
Maskelyne A,29420,0.03,34.09,34.09
Nicolai Q,29420,-42.53,30.01,30.01
Reimarus A,29420,-48.85,59.93,59.93
Thales E,29410,57.21,43.23,43.23
Zhukovskiy X,29400,10.49,-171.24,188.76
La Caille K,29380,-20.97,0.52,0.52
Curie P,29370,-28.54,90.2,90.2
Kreiken,29370,-9.05,84.55,84.55
Barrow G,29360,70.17,0.26,0.26
Gerard C,29360,45.84,-79.33,280.67
Bayer E,29350,-51.77,-32.41,327.59
Sniadecki J,29340,-24.61,-166.47,193.53
Lilius B,29320,-53.02,3.76,3.76
Lagrange K,29310,-30.73,-70.44,289.56
Pascal A,29310,72.92,-75.04,284.96
Schwabe C,29300,67.74,46.95,46.95
Mercurius C,29260,47.59,59.66,59.66
Ball A,29230,-34.74,-9.4,350.6
Helberg H,29230,21.8,-101.32,258.68
Laue G,29220,27.92,-93.31,266.69
Malyy G,29220,21.72,107.11,107.11
Scott E,29220,-81.17,35.7,35.7
Schroter F,29200,7.41,-5.89,354.11
Boss A,29190,52.21,80.18,80.18
Inghirami G,29180,-51.03,-74.29,285.71
Kastner S,29180,-7.99,83.1,83.1
Fraunhofer A,29170,-39.58,61.61,61.61
De Vico P,29150,-20.4,-60.8,299.2
Clairaut E,29140,-46.48,12.5,12.5
Lagalla F,29140,-44.63,-25.32,334.68
Icarus H,29130,-7.93,-169.51,190.49
Lavoisier H,29120,38.17,-78.94,281.06
Maclaurin A,29100,-3.23,67.56,67.56
Rumford Q,29060,-30.86,-171.76,188.24
Zeno D,29060,45.14,70.96,70.96
Mendeleev P,29040,2.34,139.81,139.81
De Vries N,29020,-21.36,-177.59,182.41
Lippmann B,29020,-52.53,-110.55,249.45
Markov U,29020,51.9,-60.16,299.84
Schuster N,29020,3.28,145.82,145.82
Janssen T,29010,-48.88,42.31,42.31
Paneth W,29000,64.74,-101.39,258.61
Pannekoek A,29000,-1.04,141.24,141.24
Langrenus Y,28990,-7.88,66.86,66.86
Zwicky R,28990,-18.13,163.59,163.59
Grimaldi F,28980,-3.91,-62.84,297.16
Apollonius X,28970,6.9,58.18,58.18
Tycho A,28960,-39.94,-12.07,347.93
Segers N,28950,43.88,127.48,127.48
Cleomedes D,28940,29.21,61.86,61.86
Schlesinger A,28940,49.74,-137.41,222.59
Zach D,28940,-62.12,7.85,7.85
Kibal'chich Q,28910,-0.87,-149.53,210.47
Debye J,28880,48.18,-172.57,187.43
Taylor B,28850,-4.34,14.29,14.29
Darwin H,28830,-20.93,-69,291
Maury C,28820,36.98,38.68,38.68
Fleming Y,28810,18.03,108.23,108.23
Nagaoka W,28790,20.12,153.11,153.11
Pythagoras D,28790,64.51,-72.36,287.64
Kibal'chich R,28780,0.34,-150.62,209.38
Pasteur S,28760,-12.4,102.34,102.34
Saha E,28760,-0.29,108.04,108.04
Von Karman L,28760,-47.83,177.9,177.9
Purbach H,28750,-25.47,-5.69,354.31
Janssen D,28730,-48.65,41.22,41.22
Messala D,28690,40.52,67.89,67.89
Simpelius H,28680,-67.94,15.34,15.34
Ptolemaeus E,28670,-10.21,-4.52,355.48
Gruemberger B,28660,-64.58,-9.15,350.85
Nishina T,28660,-44.69,-174.69,185.31
Atwood,28640,-5.88,57.78,57.78
Abbe M,28610,-61.75,175.24,175.24
Glazenap S,28610,-2.24,134.57,134.57
Longomontanus A,28610,-52.94,-24.15,335.85
Proclus R,28580,15.85,45.45,45.45
Julius Caesar Q,28570,12.99,13.95,13.95
Haret Y,28560,-56.07,-176.86,183.14
Mandel'shtam G,28560,4.42,166.33,166.33
Grove,28550,40.3,32.98,32.98
Hirayama M,28540,-9.26,93.54,93.54
Hypatia M,28530,-5.28,23.41,23.41
Littrow,28520,21.5,31.39,31.39
Montgolfier J,28520,45.97,-158.68,201.32
Lavoisier A,28510,36.97,-73.26,286.74
Hind,28500,-7.92,7.31,7.31
Comrie V,28490,24.58,-116.16,243.84
Heymans D,28490,76.3,-133.19,226.81
Douglass C,28450,36.29,-121.27,238.73
Mechnikov F,28430,-10.78,-145.08,214.92
Garavito D,28420,-46.37,158.9,158.9
Zach F,28400,-60.16,3.3,3.3
Marinus M,28390,-37.44,80.77,80.77
Valier J,28380,6.19,174.86,174.86
Capuanus E,28370,-37.54,-27.17,332.83
Drebbel C,28320,-40.46,-43.06,316.94
Fabry X,28310,48.94,96.62,96.62
